time,wx,wy,wz
0.005660057067871094,0.37,0.14,0.03
0.01030588150024414,0.15,0.25,0.08
0.020506858825683594,-0.07,0.3,0.12
0.03663301467895508,-0.3,0.28,0.16
0.040393829345703125,-0.49,0.19,0.23
0.05019807815551758,-0.62,0.06,0.35
0.06093001365661621,-0.71,-0.03,0.49
0.07093095779418945,-0.7,-0.12,0.59
0.08090400695800781,-0.61,-0.33,0.59
0.0911250114440918,-0.47,-0.65,0.5
0.10118794441223145,-0.36,-0.86,0.35
0.11194610595703125,-0.27,-0.86,0.18
0.12247395515441895,-0.19,-0.72,0.01
0.14031982421875,-0.09,-0.59,-0.13
0.14229202270507812,0.03,-0.49,-0.2
0.15134716033935547,0.1,-0.33,-0.21
0.16168498992919922,0.11,-0.08,-0.2
0.17177486419677734,0.09,0.15,-0.16
0.18284082412719727,0.05,0.26,-0.12
0.19255399703979492,0.0,0.28,-0.09
0.20314884185791016,-0.04,0.26,-0.08
0.21237516403198242,-0.08,0.2,-0.06
0.2231309413909912,-0.12,0.12,-0.06
0.24265003204345703,-0.18,0.04,-0.06
0.2442619800567627,-0.24,-0.01,-0.08
0.2519400119781494,-0.3,-0.04,-0.08
0.2624509334564209,-0.34,-0.07,-0.07
0.2723970413208008,-0.36,-0.08,-0.06
0.2837250232696533,-0.34,-0.07,-0.05
0.2931351661682129,-0.32,-0.04,-0.03
0.30389404296875,-0.29,0.0,0.01
0.31302905082702637,-0.26,0.04,0.04
0.3242509365081787,-0.24,0.07,0.08
0.3417930603027344,-0.24,0.09,0.12
0.34357500076293945,-0.26,0.13,0.16
0.3529238700866699,-0.26,0.06,0.2
0.36296987533569336,-0.26,0.02,0.25
0.3730590343475342,-0.26,0.07,0.27
0.38319897651672363,-0.25,0.08,0.28
0.3942708969116211,-0.23,0.06,0.28
0.4041619300842285,-0.22,0.05,0.28
0.41370701789855957,-0.22,0.06,0.28
0.4394819736480713,-0.22,0.04,0.28
0.44128894805908203,-0.21,0.02,0.27
0.4434800148010254,-0.2,0.0,0.24
0.4547429084777832,-0.16,-0.03,0.2
0.4637789726257324,-0.11,-0.07,0.15
0.47472596168518066,-0.04,-0.07,0.09
0.4851551055908203,0.04,-0.04,0.03
0.4946010112762451,0.09,0.0,-0.01
0.5051331520080566,0.14,0.01,-0.07
0.5148539543151855,0.15,-0.02,-0.12
0.5410161018371582,0.15,-0.04,-0.18
0.5424950122833252,0.15,-0.05,-0.24
0.5443539619445801,0.15,-0.06,-0.29
0.5545520782470703,0.12,-0.04,-0.32
0.5655741691589355,0.1,-0.09,-0.33
0.5756068229675293,0.07,-0.1,-0.34
0.5857160091400146,0.05,-0.12,-0.33
0.595369815826416,0.03,-0.12,-0.34
0.605571985244751,0.01,-0.1,-0.34
0.6153969764709473,-0.01,-0.07,-0.37
0.6395821571350098,-0.03,-0.05,-0.39
0.6413149833679199,-0.04,-0.05,-0.42
0.6449689865112305,-0.06,-0.01,-0.44
0.655040979385376,-0.11,0.1,-0.45
0.6652379035949707,-0.22,0.31,-0.45
0.6753621101379395,-0.37,0.58,-0.43
0.6864328384399414,-0.53,0.79,-0.41
0.6956779956817627,-0.66,0.94,-0.39
0.706712007522583,-0.77,1.03,-0.35
0.7165389060974121,-0.86,1.05,-0.31
0.7419259548187256,-0.95,1.03,-0.26
0.7436330318450928,-1.03,1.0,-0.21
0.7458391189575195,-1.09,0.97,-0.15
0.7557520866394043,-1.15,0.96,-0.1
0.7659599781036377,-1.19,0.96,-0.05
0.7761180400848389,-1.2,0.99,-0.01
0.7861928939819336,-1.19,1.04,0.01
0.796118974685669,-1.16,1.1,0.02
0.8074560165405273,-1.1,1.18,0.01
0.8166160583496094,-1.02,1.25,0.01
0.8342249393463135,-0.94,1.33,0.02
0.8365311622619629,-0.85,1.41,0.04
0.8465609550476074,-0.73,1.48,0.08
0.8565831184387207,-0.58,1.56,0.14
0.8666291236877441,-0.41,1.64,0.21
0.8768270015716553,-0.21,1.72,0.27
0.8868939876556396,-0.01,1.8,0.32
0.8977229595184326,0.22,1.87,0.35
0.907559871673584,0.45,1.95,0.35
0.9180519580841064,0.68,2.02,0.32
0.9349930286407471,0.88,2.1,0.26
0.9372379779815674,1.05,2.17,0.18
0.9475979804992676,1.15,2.24,0.09
0.9572210311889648,1.18,2.3,0.0
0.9673759937286377,1.13,2.36,-0.09
0.9775209426879883,1.01,2.41,-0.17
0.988677978515625,0.82,2.47,-0.24
0.9983210563659668,0.58,2.52,-0.31
1.0084710121154785,0.31,2.57,-0.37
1.0185770988464355,0.03,2.61,-0.43
1.0344948768615723,-0.24,2.66,-0.49
1.0379719734191895,-0.48,2.71,-0.55
1.0479540824890137,-0.65,2.76,-0.6
1.0581340789794922,-0.75,2.82,-0.64
1.0682580471038818,-0.81,2.87,-0.66
1.0792169570922852,-0.82,2.93,-0.67
1.0890049934387207,-0.8,2.98,-0.66
1.0993599891662598,-0.77,3.03,-0.62
1.1093430519104004,-0.71,3.09,-0.55
1.1194980144500732,-0.64,3.14,-0.46
1.1367340087890625,-0.55,3.18,-0.34
1.1387181282043457,-0.43,3.23,-0.21
1.148806095123291,-0.29,3.28,-0.08
1.1589751243591309,-0.14,3.32,0.06
1.1689460277557373,0.05,3.37,0.19
1.1800141334533691,0.23,3.41,0.33
